method,run_name,raw_accuracy,analysis_samples,normal_accuracy,steered_accuracy,visual_attention_ratio_normal,visual_attention_ratio_steered,visual_attention_ratio_drop_percent,normalized_attention_entropy_normal,normalized_attention_entropy_steered,representation_cosine_similarity,query_hidden_l2_ratio,task_vector_to_hidden_norm_ratio,diagnostics_path,log_path
stv,write_failure_cub_stv_qwen2_vl_20260329_011045,0.0,20,0.0,0.0,0.07329158876091242,0.0732409255579114,0.06611188196357896,0.37423033118247984,0.3742195010185242,0.9999496906995773,0.0018049992504529655,0.00038098064542282375,/root/autodl-tmp/FGVC/swap/paper/outputs/20260329_011045_write_failure_cub/write_failure_cub_stv_qwen2_vl_20260329_011045.diagnostics.json,/root/autodl-tmp/FGVC/swap/paper/logs/20260329_011045_write_failure_cub/write_failure_cub_stv_qwen2_vl_20260329_011045.log
i2cl,write_failure_cub_i2cl_qwen2_vl_20260329_011045,0.0,20,0.0,0.0,0.07329158876091242,0.07323517147451639,0.07623268188315598,0.37423033118247984,0.37380497008562086,0.9996373116970062,0.010366353718563915,0.3487424150109291,/root/autodl-tmp/FGVC/swap/paper/outputs/20260329_011045_write_failure_cub/write_failure_cub_i2cl_qwen2_vl_20260329_011045.diagnostics.json,/root/autodl-tmp/FGVC/swap/paper/logs/20260329_011045_write_failure_cub/write_failure_cub_i2cl_qwen2_vl_20260329_011045.log
mimic,write_failure_cub_mimic_qwen2_vl_20260329_011045,0.05,20,0.0,0.05,0.07329158876091242,0.07420933730900288,-1.2546167266268027,0.37423033118247984,0.3764474242925644,0.9986925601959229,0.017315629217773677,0.007684483239427209,/root/autodl-tmp/FGVC/swap/paper/outputs/20260329_011045_write_failure_cub/write_failure_cub_mimic_qwen2_vl_20260329_011045.diagnostics.json,/root/autodl-tmp/FGVC/swap/paper/logs/20260329_011045_write_failure_cub/write_failure_cub_mimic_qwen2_vl_20260329_011045.log
