method,run_name,raw_accuracy,analysis_samples,normal_accuracy,steered_accuracy,visual_attention_ratio_normal,visual_attention_ratio_steered,visual_attention_ratio_drop_percent,normalized_attention_entropy_normal,normalized_attention_entropy_steered,representation_cosine_similarity,query_hidden_l2_ratio,task_vector_to_hidden_norm_ratio,diagnostics_path,log_path
stv,write_failure_pets_stv_qwen2_vl_20260329_012630,0.7333333333333333,60,0.7666666666666667,0.7333333333333333,0.07010635578384002,0.07010226094474395,0.006345480809675453,0.38369911958773933,0.3837125852704048,0.999998489022255,0.00036717526333328955,0.0007724400211979325,/root/autodl-tmp/FGVC/swap/paper/outputs/20260329_012630_write_failure_pets/write_failure_pets_stv_qwen2_vl_20260329_012630.diagnostics.json,/root/autodl-tmp/FGVC/swap/paper/logs/20260329_012630_write_failure_pets/write_failure_pets_stv_qwen2_vl_20260329_012630.log
i2cl,write_failure_pets_i2cl_qwen2_vl_20260329_012630,0.6333333333333333,60,0.7666666666666667,0.6333333333333333,0.07010635578384002,0.07000372912734747,0.14946784226449658,0.38369911958773933,0.38317784716685616,0.9993884354829788,0.011947004031389952,0.3061426560084025,/root/autodl-tmp/FGVC/swap/paper/outputs/20260329_012630_write_failure_pets/write_failure_pets_i2cl_qwen2_vl_20260329_012630.diagnostics.json,/root/autodl-tmp/FGVC/swap/paper/logs/20260329_012630_write_failure_pets/write_failure_pets_i2cl_qwen2_vl_20260329_012630.log
mimic,write_failure_pets_mimic_qwen2_vl_20260329_012630,0.8333333333333334,60,0.7666666666666667,0.8333333333333334,0.07010635578384002,0.07202305427441995,-2.7359042110038474,0.38369911958773933,0.38788309693336487,0.9982108881076177,0.019107921545704207,0.007339899575648208,/root/autodl-tmp/FGVC/swap/paper/outputs/20260329_012630_write_failure_pets/write_failure_pets_mimic_qwen2_vl_20260329_012630.diagnostics.json,/root/autodl-tmp/FGVC/swap/paper/logs/20260329_012630_write_failure_pets/write_failure_pets_mimic_qwen2_vl_20260329_012630.log
