method,run_name,raw_accuracy,analysis_samples,normal_accuracy,steered_accuracy,visual_attention_ratio_normal,visual_attention_ratio_steered,visual_attention_ratio_drop_percent,normalized_attention_entropy_normal,normalized_attention_entropy_steered,representation_cosine_similarity,query_hidden_l2_ratio,task_vector_to_hidden_norm_ratio,diagnostics_path,log_path
stv,write_failure_eurosat_stv_qwen2_vl_20260329_012220,0.0,30,0.0,0.0,0.01986744875709216,0.019867654610425233,-0.001356095173059074,0.47679898540178933,0.47679791450500486,0.999999588727951,0.00024807344016153365,0.0008494172187056392,/root/autodl-tmp/FGVC/swap/paper/outputs/20260329_012220_write_failure_eurosat/write_failure_eurosat_stv_qwen2_vl_20260329_012220.diagnostics.json,/root/autodl-tmp/FGVC/swap/paper/logs/20260329_012220_write_failure_eurosat/write_failure_eurosat_stv_qwen2_vl_20260329_012220.log
i2cl,write_failure_eurosat_i2cl_qwen2_vl_20260329_012220,0.03333333333333333,30,0.0,0.03333333333333333,0.01986744875709216,0.01983675668016076,0.15708383418440144,0.47679898540178933,0.47617678344249725,0.9997015873591105,0.009605193759004276,0.21734159390131633,/root/autodl-tmp/FGVC/swap/paper/outputs/20260329_012220_write_failure_eurosat/write_failure_eurosat_i2cl_qwen2_vl_20260329_012220.diagnostics.json,/root/autodl-tmp/FGVC/swap/paper/logs/20260329_012220_write_failure_eurosat/write_failure_eurosat_i2cl_qwen2_vl_20260329_012220.log
mimic,write_failure_eurosat_mimic_qwen2_vl_20260329_012220,0.3,30,0.0,0.3,0.01986744875709216,0.020098413744320472,-1.1719359123520199,0.47679898540178933,0.4796430935462316,0.9985806425412496,0.01761762648820877,0.005357374111190439,/root/autodl-tmp/FGVC/swap/paper/outputs/20260329_012220_write_failure_eurosat/write_failure_eurosat_mimic_qwen2_vl_20260329_012220.diagnostics.json,/root/autodl-tmp/FGVC/swap/paper/logs/20260329_012220_write_failure_eurosat/write_failure_eurosat_mimic_qwen2_vl_20260329_012220.log
