model_name,task_label,dataset_name,method_id,display_name,level,layer_idx,stage,selected,selection_score,fdr,loo_accuracy,cv_accuracy,weight,mean_vote_weight,mean_margin,val_accuracy,shrinkage_alpha
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,mlp,19,late,1,,,,,,0.013485996373929084,391.96056640625,0.65,0.10340537224212658
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,layer,18,mid,1,,,,,,0.008623603116902814,274.83748046875,0.65,0.21341527848562483
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,head,17,mid,1,,,,,,0.00824244700095278,237.5627880859375,0.65,0.22752027784998516
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,head,14,mid,1,,,,,,0.00812737327533796,240.6644970703125,0.65,0.1920904520376705
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,head,24,late,1,,,,,,0.014213318376073402,399.604814453125,0.64,0.03638908562914631
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,layer,16,mid,1,,,,,,0.008261640320706648,235.9170458984375,0.64,0.18724861842778537
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,attn,13,mid,1,,,,,,0.00810536868601048,222.8399169921875,0.64,0.15872516220539618
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,layer,14,mid,1,,,,,,0.0076468073576688765,233.93395263671874,0.64,0.19615300766531438
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,layer,15,mid,1,,,,,,0.007630111978887726,235.014716796875,0.64,0.19808267952598577
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,head,16,mid,1,,,,,,0.007439260544779245,203.65505859375,0.64,0.17960909692172966
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,attn,18,mid,1,,,,,,0.008286735477449838,265.51325927734376,0.63,0.21519570396681784
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,head,13,mid,1,,,,,,0.007834437098208582,228.0316796875,0.63,0.17063379497658157
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,mlp,16,mid,1,,,,,,0.007477220790242427,213.676611328125,0.63,0.1803633986394807
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,attn,16,mid,1,,,,,,0.0073733776077824584,197.5262060546875,0.63,0.18378441212964428
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,attn,24,late,1,,,,,,0.00893678964501305,234.01302734375,0.62,0.027638331603186496
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,layer,13,mid,1,,,,,,0.007657323597486538,227.70113037109374,0.62,0.18723871695090283
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,mlp,26,late,1,,,,,,0.0072890111242304555,208.3541650390625,0.62,0.09010618313216807
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,attn,9,early,1,,,,,,0.007104758214554749,222.3849072265625,0.62,0.20922242389526108
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,mlp,9,early,1,,,,,,0.006422577425510099,215.67415283203124,0.62,0.1901882851661577
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,head,9,early,1,,,,,,0.007624634460662492,237.49402587890626,0.61,0.22019585210807652
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,mlp,18,mid,1,,,,,,0.008403657333765295,271.4091455078125,0.6,0.1735383396387413
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,mlp,14,mid,1,,,,,,0.0076550008887716105,222.871796875,0.6,0.17323569077743803
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,attn,17,mid,1,,,,,,0.007263798389467411,216.4696533203125,0.6,0.23088120272327972
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,attn,15,mid,1,,,,,,0.00662228116125334,193.51318603515625,0.6,0.19763509673136065
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,attn,5,early,1,,,,,,0.006057355252632988,184.6824609375,0.6,0.15142002802068677
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,head,1,early,1,,,,,,0.0053628617480717365,157.8400927734375,0.6,0.11601225333150925
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,attn,1,early,1,,,,,,0.0050293147853881235,148.540263671875,0.6,0.09843141349475007
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,head,25,late,1,,,,,,0.008721543725405354,259.18515625,0.59,0.05343188494898329
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,mlp,13,mid,1,,,,,,0.008120761457466869,233.1677001953125,0.59,0.16868527741001055
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,mlp,15,mid,1,,,,,,0.007638238391009509,228.88902099609376,0.59,0.1739966039200589
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,head,3,early,1,,,,,,0.007579266012035077,236.7753662109375,0.59,0.18284093898001547
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,attn,25,late,1,,,,,,0.008111716934081414,235.743193359375,0.58,0.054942298670684044
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,head,2,early,1,,,,,,0.0076815999711106996,249.98897705078124,0.58,0.17950957694154385
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,attn,3,early,1,,,,,,0.007642646835884079,243.4328173828125,0.58,0.17316090073773374
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,attn,8,early,1,,,,,,0.00689888692497334,222.73648193359375,0.58,0.18671657317110427
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,head,6,early,1,,,,,,0.006789868789583125,203.4607080078125,0.58,0.11900927250248988
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,layer,1,early,1,,,,,,0.0064727252491138644,178.0780224609375,0.58,0.1324957625826057
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,mlp,6,early,1,,,,,,0.005942428631315124,193.0599267578125,0.58,0.15080675972633611
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,mlp,4,early,1,,,,,,0.008588314670778346,253.4898583984375,0.57,0.11137812234947761
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,head,12,mid,1,,,,,,0.007635224289660982,218.76144287109375,0.57,0.1906608369593702
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,attn,12,mid,1,,,,,,0.007435228215908865,215.408701171875,0.57,0.18273777070652103
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,layer,3,early,1,,,,,,0.007038273025391391,228.24771484375,0.57,0.1578785013713559
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,layer,6,early,1,,,,,,0.006929945648880676,213.8715478515625,0.57,0.15348600511740046
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,head,5,early,1,,,,,,0.00642150758390926,198.6136328125,0.57,0.16432778248940783
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,mlp,11,mid,1,,,,,,0.005975287025066791,193.74285888671875,0.57,0.18276295419905206
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,head,7,early,1,,,,,,0.010072507060249336,331.8391381835938,0.56,0.17243183126905445
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,attn,4,early,1,,,,,,0.01003581977533031,325.8912841796875,0.56,0.11628318885202746
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,head,0,early,1,,,,,,0.008328711923186348,195.1024609375,0.56,0.10507550053641264
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,head,10,mid,1,,,,,,0.008254834793769988,252.15832275390625,0.56,0.20386416118709025
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,layer,7,early,1,,,,,,0.008156438181322301,278.24701416015625,0.56,0.16939043584258662
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,layer,9,early,1,,,,,,0.00697091313166311,224.24333984375,0.56,0.19305368212109744
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,layer,12,mid,1,,,,,,0.006778450307319872,213.4860546875,0.56,0.19264040985333966
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,attn,11,mid,1,,,,,,0.006679337099049007,188.5110986328125,0.56,0.1705428482975284
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,layer,10,mid,1,,,,,,0.006525016266205057,212.75441650390624,0.56,0.19121811347986045
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,layer,2,early,1,,,,,,0.006392916231998242,205.924140625,0.56,0.14947595559261073
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,layer,4,early,1,,,,,,0.010567441320235958,319.784755859375,0.55,0.12452531244787482
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,mlp,17,mid,1,,,,,,0.00808234249590896,229.26786376953126,0.55,0.18466665728246204
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,layer,5,early,1,,,,,,0.0073213527522602816,223.6309326171875,0.55,0.14841897737066173
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,mlp,12,mid,1,,,,,,0.00718442161771236,212.93482421875,0.55,0.1906050682582765
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,attn,6,early,1,,,,,,0.006769081631500739,202.0254541015625,0.55,0.1098363479379982
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,head,11,mid,1,,,,,,0.006620163650950417,193.0856591796875,0.55,0.1756785947829059
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,attn,2,early,1,,,,,,0.0065794209666273674,213.4228515625,0.55,0.17281456404739884
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,mlp,10,mid,1,,,,,,0.006560332876906614,204.75049560546876,0.55,0.19756192117035418
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,layer,0,early,1,,,,,,0.0064984260960045505,152.6993310546875,0.55,0.1332437171763736
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,layer,11,mid,1,,,,,,0.006173971498792525,205.7271875,0.55,0.19202146826352243
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,head,4,early,1,,,,,,0.010759595849085599,353.981533203125,0.54,0.11800827808692022
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,attn,10,mid,1,,,,,,0.008297370535970003,244.16864990234376,0.54,0.19479446948578127
