experiment_id	dataset_name	evaluator_name	method_id	display_name	run_name	train_subset	val_subset	metrics_path	predictions_path
eurosat	eurosat	raw	rse	RSE	eurosat_rse_qwen2_vl_20260325_040658	/root/autodl-tmp/FGVC/swap/subsets/20260324_125034_fgvc_method_suite/eurosat/train_subset.json	/root/autodl-tmp/FGVC/swap/subsets/20260324_125034_fgvc_method_suite/eurosat/val_subset.json	/root/autodl-tmp/FGVC/swap/outputs/20260325_040658_rse_expanded_suite/eurosat_rse_qwen2_vl_20260325_040658.metrics.json	/root/autodl-tmp/FGVC/swap/outputs/20260325_040658_rse_expanded_suite/eurosat_rse_qwen2_vl_20260325_040658.predictions.jsonl
eurosat	eurosat	raw	rse_zscore	RSE-ZScore	eurosat_rse_zscore_qwen2_vl_20260325_040658	/root/autodl-tmp/FGVC/swap/subsets/20260324_125034_fgvc_method_suite/eurosat/train_subset.json	/root/autodl-tmp/FGVC/swap/subsets/20260324_125034_fgvc_method_suite/eurosat/val_subset.json	/root/autodl-tmp/FGVC/swap/outputs/20260325_040658_rse_expanded_suite/eurosat_rse_zscore_qwen2_vl_20260325_040658.metrics.json	/root/autodl-tmp/FGVC/swap/outputs/20260325_040658_rse_expanded_suite/eurosat_rse_zscore_qwen2_vl_20260325_040658.predictions.jsonl
eurosat	eurosat	raw	rse_cv	RSE-CV	eurosat_rse_cv_qwen2_vl_20260325_040658	/root/autodl-tmp/FGVC/swap/subsets/20260324_125034_fgvc_method_suite/eurosat/train_subset.json	/root/autodl-tmp/FGVC/swap/subsets/20260324_125034_fgvc_method_suite/eurosat/val_subset.json	/root/autodl-tmp/FGVC/swap/outputs/20260325_040658_rse_expanded_suite/eurosat_rse_cv_qwen2_vl_20260325_040658.metrics.json	/root/autodl-tmp/FGVC/swap/outputs/20260325_040658_rse_expanded_suite/eurosat_rse_cv_qwen2_vl_20260325_040658.predictions.jsonl
eurosat	eurosat	raw	rse_shrink	RSE-Shrink	eurosat_rse_shrink_qwen2_vl_20260325_040658	/root/autodl-tmp/FGVC/swap/subsets/20260324_125034_fgvc_method_suite/eurosat/train_subset.json	/root/autodl-tmp/FGVC/swap/subsets/20260324_125034_fgvc_method_suite/eurosat/val_subset.json	/root/autodl-tmp/FGVC/swap/outputs/20260325_040658_rse_expanded_suite/eurosat_rse_shrink_qwen2_vl_20260325_040658.metrics.json	/root/autodl-tmp/FGVC/swap/outputs/20260325_040658_rse_expanded_suite/eurosat_rse_shrink_qwen2_vl_20260325_040658.predictions.jsonl
eurosat	eurosat	raw	rse_adaptive	RSE-Adaptive	eurosat_rse_adaptive_qwen2_vl_20260325_040658	/root/autodl-tmp/FGVC/swap/subsets/20260324_125034_fgvc_method_suite/eurosat/train_subset.json	/root/autodl-tmp/FGVC/swap/subsets/20260324_125034_fgvc_method_suite/eurosat/val_subset.json	/root/autodl-tmp/FGVC/swap/outputs/20260325_040658_rse_expanded_suite/eurosat_rse_adaptive_qwen2_vl_20260325_040658.metrics.json	/root/autodl-tmp/FGVC/swap/outputs/20260325_040658_rse_expanded_suite/eurosat_rse_adaptive_qwen2_vl_20260325_040658.predictions.jsonl
eurosat	eurosat	raw	rse_pca	RSE-PCA	eurosat_rse_pca_qwen2_vl_20260325_040658	/root/autodl-tmp/FGVC/swap/subsets/20260324_125034_fgvc_method_suite/eurosat/train_subset.json	/root/autodl-tmp/FGVC/swap/subsets/20260324_125034_fgvc_method_suite/eurosat/val_subset.json	/root/autodl-tmp/FGVC/swap/outputs/20260325_040658_rse_expanded_suite/eurosat_rse_pca_qwen2_vl_20260325_040658.metrics.json	/root/autodl-tmp/FGVC/swap/outputs/20260325_040658_rse_expanded_suite/eurosat_rse_pca_qwen2_vl_20260325_040658.predictions.jsonl
naturalbench_vqa	naturalbench_vqa	raw	zero_shot	Zero-shot	naturalbench_vqa_zero_shot_qwen2_vl_20260325_040658	/root/autodl-tmp/FGVC/swap/subsets/20260325_040658_rse_expanded_suite/naturalbench_vqa/train_subset.jsonl	/root/autodl-tmp/FGVC/swap/subsets/20260325_040658_rse_expanded_suite/naturalbench_vqa/val_subset.jsonl	/root/autodl-tmp/FGVC/swap/outputs/20260325_040658_rse_expanded_suite/naturalbench_vqa_zero_shot_qwen2_vl_20260325_040658.metrics.json	/root/autodl-tmp/FGVC/swap/outputs/20260325_040658_rse_expanded_suite/naturalbench_vqa_zero_shot_qwen2_vl_20260325_040658.predictions.jsonl
naturalbench_vqa	naturalbench_vqa	raw	sav	SAV	naturalbench_vqa_sav_qwen2_vl_20260325_040658	/root/autodl-tmp/FGVC/swap/subsets/20260325_040658_rse_expanded_suite/naturalbench_vqa/train_subset.jsonl	/root/autodl-tmp/FGVC/swap/subsets/20260325_040658_rse_expanded_suite/naturalbench_vqa/val_subset.jsonl	/root/autodl-tmp/FGVC/swap/outputs/20260325_040658_rse_expanded_suite/naturalbench_vqa_sav_qwen2_vl_20260325_040658.metrics.json	/root/autodl-tmp/FGVC/swap/outputs/20260325_040658_rse_expanded_suite/naturalbench_vqa_sav_qwen2_vl_20260325_040658.predictions.jsonl
naturalbench_vqa	naturalbench_vqa	raw	rse	RSE	naturalbench_vqa_rse_qwen2_vl_20260325_040658	/root/autodl-tmp/FGVC/swap/subsets/20260325_040658_rse_expanded_suite/naturalbench_vqa/train_subset.jsonl	/root/autodl-tmp/FGVC/swap/subsets/20260325_040658_rse_expanded_suite/naturalbench_vqa/val_subset.jsonl	/root/autodl-tmp/FGVC/swap/outputs/20260325_040658_rse_expanded_suite/naturalbench_vqa_rse_qwen2_vl_20260325_040658.metrics.json	/root/autodl-tmp/FGVC/swap/outputs/20260325_040658_rse_expanded_suite/naturalbench_vqa_rse_qwen2_vl_20260325_040658.predictions.jsonl
naturalbench_vqa	naturalbench_vqa	raw	rse_zscore	RSE-ZScore	naturalbench_vqa_rse_zscore_qwen2_vl_20260325_040658	/root/autodl-tmp/FGVC/swap/subsets/20260325_040658_rse_expanded_suite/naturalbench_vqa/train_subset.jsonl	/root/autodl-tmp/FGVC/swap/subsets/20260325_040658_rse_expanded_suite/naturalbench_vqa/val_subset.jsonl	/root/autodl-tmp/FGVC/swap/outputs/20260325_040658_rse_expanded_suite/naturalbench_vqa_rse_zscore_qwen2_vl_20260325_040658.metrics.json	/root/autodl-tmp/FGVC/swap/outputs/20260325_040658_rse_expanded_suite/naturalbench_vqa_rse_zscore_qwen2_vl_20260325_040658.predictions.jsonl
