method,run_name,raw_accuracy,analysis_samples,normal_accuracy,steered_accuracy,visual_attention_ratio_normal,visual_attention_ratio_steered,visual_attention_ratio_drop_percent,normalized_attention_entropy_normal,normalized_attention_entropy_steered,representation_cosine_similarity,query_hidden_l2_ratio,task_vector_to_hidden_norm_ratio,diagnostics_path,log_path
stv,stv_smoke_qwen2,0.0,1,0.0,0.0,0.013748818077147007,0.013748818077147007,0.0,0.4727106988430023,0.4727106988430023,1.000001072883606,0.0,0.00026860780781134963,swap/tmp_write_failure_smoke/stv_smoke_qwen2.diagnostics.json,swap/tmp_write_failure_smoke/stv.log
i2cl,i2cl_smoke_qwen2,0.0,1,0.0,0.0,0.013748818077147007,0.013753448612987995,-0.0336795193230823,0.4727106988430023,0.4712730646133423,0.9994910955429077,0.014891472645103931,0.23607206344604492,swap/tmp_write_failure_smoke/i2cl_smoke_qwen2.diagnostics.json,swap/tmp_write_failure_smoke/i2cl.log
mimic,mimic_smoke_qwen2,0.0,1,0.0,0.0,0.013748818077147007,0.013766021467745304,-0.12512632359935164,0.4727106988430023,0.4725545048713684,0.9999688267707825,0.0019447073573246598,0.0008151016663759947,swap/tmp_write_failure_smoke/mimic_smoke_qwen2.diagnostics.json,swap/tmp_write_failure_smoke/mimic.log
